year,sex,age,value
2007,1,39,2027301
2007,1,40,2021075
2007,1,41,2090954
2007,1,42,2233912
2007,1,43,2258746
2007,1,44,2228489
2007,1,45,2233025
2007,1,46,2266159
2007,1,47,2326976
2007,1,48,2210559
2007,1,49,2220829
2007,1,50,2170086
2007,1,51,2105021
2007,1,52,2107225
2007,1,53,2014300
2007,1,54,1947797
2007,1,55,1859281
2007,1,56,1824531
2007,1,57,1814344
2007,1,58,1736443
2007,1,59,1710700
2007,1,60,1766043
2007,1,61,1334516
2007,1,62,1322109
2007,1,63,1294016
2007,1,64,1317780
2007,1,65,1155119
2007,1,66,1061969
2007,1,67,1028624
2007,1,68,968187
2007,1,69,931531
2007,1,70,856729
2007,1,71,836079
2007,1,72,815065
2007,1,73,734155
2007,1,74,715467
2007,1,75,683039
2007,1,76,668782
2007,1,77,652493
2007,1,78,599072
2007,1,79,571753
2007,1,80,527247
2007,1,81,483736
2007,1,82,448157
2007,1,83,403576
2007,1,84,355093
2007,1,85,315191
2007,1,86,275109
2007,1,87,230317
2007,1,88,180469
2007,1,89,152665
2007,1,90,113656
2007,1,91,90802
2007,1,92,71170
2007,1,93,51427
2007,1,94,36994
2007,1,95,25487
2007,1,96,17800
2007,1,97,11853
2007,1,98,7489
2007,1,99,5114
2007,1,100,7693
2008,1,0,2109846
2008,1,1,2095154
2008,1,2,2046268
2008,1,3,2039937
2008,1,4,2065739
2008,1,5,2056164
2008,1,6,2034499
2008,1,7,2077462
2008,1,8,2010918
2008,1,9,2002071
2008,1,10,2094239
2008,1,11,2072499
2008,1,12,2128173
2008,1,13,2151552
2008,1,14,2151718
2008,1,15,2217764
2008,1,16,2263348
2008,1,17,2299512
2008,1,18,2357770
2008,1,19,2267338
2008,1,20,2203034
2008,1,21,2176554
2008,1,22,2170281
2008,1,23,2169035
2008,1,24,2122142
2008,1,25,2161269
2008,1,26,2118708
2008,1,27,2124164
2008,1,28,2109285
2008,1,29,1995710
2008,1,30,2005304
2008,1,31,1918551
2008,1,32,1906803
2008,1,33,1954630
2008,1,34,1893638
2008,1,35,1951453
2008,1,36,2036234
2008,1,37,2131773
2008,1,38,2189534
2008,1,39,2070660
2008,1,40,2021855
2008,1,41,2031178
2008,1,42,2089575
2008,1,43,2236079
2008,1,44,2238412
2008,1,45,2218446
2008,1,46,2245998
2008,1,47,2271170
2008,1,48,2312020
2008,1,49,2216356
2008,1,50,2197224
2008,1,51,2189639
2008,1,52,2084700
2008,1,53,2113819
2008,1,54,2013539
2008,1,55,1913592
2008,1,56,1870156
2008,1,57,1807079
2008,1,58,1804202
2008,1,59,1717301
2008,1,60,1674280
2008,1,61,1783203
2008,1,62,1321417
2008,1,63,1313243
2008,1,64,1270827
2008,1,65,1303557
2008,1,66,1138633
2008,1,67,1048799
2008,1,68,1009620
2008,1,69,945830
2008,1,70,901774
2008,1,71,845857
2008,1,72,807647
2008,1,73,792997
2008,1,74,706721
2008,1,75,679687
2008,1,76,664284
2008,1,77,635582
2008,1,78,621852
2008,1,79,565841
2008,1,80,531699
2008,1,81,496116
2008,1,82,444700
2008,1,83,415006
2008,1,84,364892
2008,1,85,318743
2008,1,86,282322
2008,1,87,243482
2008,1,88,197252
2008,1,89,154997
2008,1,90,124009
2008,1,91,94051
2008,1,92,73473
2008,1,93,54582
2008,1,94,39387
2008,1,95,27460
2008,1,96,19044
2008,1,97,12658
2008,1,98,8088
2008,1,99,5215
2008,1,100,8051
2009,1,0,2044418
2009,1,1,2080878
2009,1,2,2097732
2009,1,3,2056282
2009,1,4,2062779
2009,1,5,2078709
2009,1,6,2051558
2009,1,7,2048522
2009,1,8,2087842
2009,1,9,2041124
2009,1,10,2113518
2009,1,11,2080465
2009,1,12,2100432
2009,1,13,2131163
2009,1,14,2146254
2009,1,15,2185191
2009,1,16,2243808
2009,1,17,2273583
2009,1,18,2326121
2009,1,19,2359536
2009,1,20,2242042
2009,1,21,2201022
2009,1,22,2156791
2009,1,23,2161622
2009,1,24,2163232
2009,1,25,2136055
2009,1,26,2123441
2009,1,27,2131764
2009,1,28,2126324
2009,1,29,2093773
2009,1,30,2071064
2009,1,31,1950109
2009,1,32,1961054
2009,1,33,1905203
2009,1,34,1957125
2009,1,35,1913685
2009,1,36,1943059
2009,1,37,2024753
2009,1,38,2136185
2009,1,39,2197945
2009,1,40,2063870
2009,1,41,2032646
2009,1,42,2029246
2009,1,43,2091675
2009,1,44,2213137
2009,1,45,2227071
2009,1,46,2232877
2009,1,47,2251625
2009,1,48,2254796
2009,1,49,2319302
2009,1,50,2190333
2009,1,51,2220328
2009,1,52,2166314
2009,1,53,2092799
2009,1,54,2113789
2009,1,55,1974783
2009,1,56,1927719
2009,1,57,1851260
2009,1,58,1797118
2009,1,59,1783506
2009,1,60,1677738
2009,1,61,1694484
2009,1,62,1767422
2009,1,63,1313400
2009,1,64,1288629
2009,1,65,1257340
2009,1,66,1285834
2009,1,67,1125678
2009,1,68,1029534
2009,1,69,986113
2009,1,70,914700
2009,1,71,892048
2009,1,72,816692
2009,1,73,786497
2009,1,74,763506
2009,1,75,670445
2009,1,76,662929
2009,1,77,631391
2009,1,78,606615
2009,1,79,587904
2009,1,80,526176
2009,1,81,501564
2009,1,82,456484
2009,1,83,412912
2009,1,84,375715
2009,1,85,328081
2009,1,86,286733
2009,1,87,250591
2009,1,88,209211
2009,1,89,169765
2009,1,90,126156
2009,1,91,103533
2009,1,92,76337
2009,1,93,56532
2009,1,94,42066
2009,1,95,29474
2009,1,96,20583
2009,1,97,13596
2009,1,98,8709
2009,1,99,5642
2009,1,100,8338
2010,1,0,2018474
2010,1,1,2020235
2010,1,2,2088545
2010,1,3,2101149
2010,1,4,2084214
2010,1,5,2076481
2010,1,6,2079365
2010,1,7,2063100
2010,1,8,2054386
2010,1,9,2106966
2010,1,10,2142102
2010,1,11,2104757
2010,1,12,2103618
2010,1,13,2104884
2010,1,14,2122845
2010,1,15,2170350
2010,1,16,2214887
2010,1,17,2252696
2010,1,18,2305381
2010,1,19,2334580
2010,1,20,2331576
2010,1,21,2240829
2010,1,22,2187886
2010,1,23,2150723
2010,1,24,2161068
2010,1,25,2176872
2010,1,26,2102080
2010,1,27,2134938
2010,1,28,2134757
2010,1,29,2112104
2010,1,30,2167197
2010,1,31,2026210
2010,1,32,1985915
2010,1,33,1963362
2010,1,34,1908478
2010,1,35,1974384
2010,1,36,1907110
2010,1,37,1934224
2010,1,38,2027725
2010,1,39,2148376
2010,1,40,2189169
2010,1,41,2073642
2010,1,42,2031512
2010,1,43,2030704
2010,1,44,2074286
2010,1,45,2201602
2010,1,46,2238507
2010,1,47,2237697
2010,1,48,2235042
2010,1,49,2262187
2010,1,50,2290606
2010,1,51,2209562
2010,1,52,2196942
2010,1,53,2170734
2010,1,54,2091450
2010,1,55,2075004
2010,1,56,1984275
2010,1,57,1909834
2010,1,58,1838532
2010,1,59,1779355
2010,1,60,1742090
2010,1,61,1691296
2010,1,62,1678966
2010,1,63,1753805
2010,1,64,1291769
2010,1,65,1272599
2010,1,66,1239730
2010,1,67,1270085
2010,1,68,1105657
2010,1,69,1006740
2010,1,70,954011
2010,1,71,903193
2010,1,72,862490
2010,1,73,794615
2010,1,74,758805
2010,1,75,725648
2010,1,76,653554
2010,1,77,630859
